Эмодзи: 🥇, Идентификатор: :1st_place_medal:
Эмодзи: 🏎, Идентификатор: :racing_car:
Эмодзи: 📻, Идентификатор: :radio:
Эмодзи: 🔘, Идентификатор: :radio_button:
Эмодзи: ☢️, Идентификатор: :radioactive:
Эмодзи: ☢, Идентификатор: :radioactive:
Эмодзи: 🚃, Идентификатор: :railway_car:
Эмодзи: 🛤️, Идентификатор: :railway_track:
Эмодзи: 🛤, Идентификатор: :railway_track:
Эмодзи: 🌈, Идентификатор: :rainbow:
Эмодзи: 🏳️‍🌈, Идентификатор: :rainbow_flag:
Эмодзи: 🏳‍🌈, Идентификатор: :rainbow_flag:
Эмодзи: 🤚, Идентификатор: :raised_back_of_hand:
Эмодзи: 🤚🏿, Идентификатор: :raised_back_of_hand_dark_skin_tone:
Эмодзи: 🤚🏻, Идентификатор: :raised_back_of_hand_light_skin_tone:
Эмодзи: 🤚🏾, Идентификатор: :raised_back_of_hand_medium-dark_skin_tone:
Эмодзи: 🤚🏼, Идентификатор: :raised_back_of_hand_medium-light_skin_tone:
Эмодзи: 🤚🏽, Идентификатор: :raised_back_of_hand_medium_skin_tone:
Эмодзи: ✊, Идентификатор: :raised_fist:
Эмодзи: ✊🏿, Идентификатор: :raised_fist_dark_skin_tone:
Эмодзи: ✊🏻, Идентификатор: :raised_fist_light_skin_tone:
Эмодзи: ✊🏾, Идентификатор: :raised_fist_medium-dark_skin_tone:
Эмодзи: ✊🏼, Идентификатор: :raised_fist_medium-light_skin_tone:
Эмодзи: ✊🏽, Идентификатор: :raised_fist_medium_skin_tone:
Эмодзи: ✋, Идентификатор: :raised_hand:
Эмодзи: ✋🏿, Идентификатор: :raised_hand_dark_skin_tone:
Эмодзи: ✋🏻, Идентификатор: :raised_hand_light_skin_tone:
Эмодзи: ✋🏾, Идентификатор: :raised_hand_medium-dark_skin_tone:
Эмодзи: ✋🏼, Идентификатор: :raised_hand_medium-light_skin_tone:
Эмодзи: ✋🏽, Идентификатор: :raised_hand_medium_skin_tone:
Эмодзи: 🙌, Идентификатор: :raising_hands:
Эмодзи: 🙌🏿, Идентификатор: :raising_hands_dark_skin_tone:
Эмодзи: 🙌🏻, Идентификатор: :raising_hands_light_skin_tone:
Эмодзи: 🙌🏾, Идентификатор: :raising_hands_medium-dark_skin_tone:
Эмодзи: 🙌🏼, Идентификатор: :raising_hands_medium-light_skin_tone:
Эмодзи: 🙌🏽, Идентификатор: :raising_hands_medium_skin_tone:
Эмодзи: 🐏, Идентификатор: :ram:
Эмодзи: 🐀, Идентификатор: :rat:
Эмодзи: 🪒, Идентификатор: :razor:
Эмодзи: 🧾, Идентификатор: :receipt:
Эмодзи: ⏺️, Идентификатор: :record_button:
Эмодзи: ⏺, Идентификатор: :record_button:
Эмодзи: ♻️, Идентификатор: :recycling_symbol:
Эмодзи: ♻, Идентификатор: :recycling_symbol:
Эмодзи: 🍎, Идентификатор: :red_apple:
Эмодзи: 🔴, Идентификатор: :red_circle:
Эмодзи: 🧧, Идентификатор: :red_envelope:
Эмодзи: ❗, Идентификатор: :red_exclamation_mark:
Эмодзи: 🦰, Идентификатор: :red_hair:
Эмодзи: ❤️, Идентификатор: :red_heart:
Эмодзи: ❤, Идентификатор: :red_heart:
Эмодзи: 🏮, Идентификатор: :red_paper_lantern:
Эмодзи: ❓, Идентификатор: :red_question_mark:
Эмодзи: 🟥, Идентификатор: :red_square:
Эмодзи: 🔻, Идентификатор: :red_triangle_pointed_down:
Эмодзи: 🔺, Идентификатор: :red_triangle_pointed_up:
Эмодзи: ®️, Идентификатор: :registered:
Эмодзи: ®, Идентификатор: :registered:
Эмодзи: 😌, Идентификатор: :relieved_face:
Эмодзи: 🎗️, Идентификатор: :reminder_ribbon:
Эмодзи: 🎗, Идентификатор: :reminder_ribbon:
Эмодзи: 🔁, Идентификатор: :repeat_button:
Эмодзи: 🔂, Идентификатор: :repeat_single_button:
Эмодзи: ⛑️, Идентификатор: :rescue_worker’s_helmet:
Эмодзи: ⛑, Идентификатор: :rescue_worker’s_helmet:
Эмодзи: 🚻, Идентификатор: :restroom:
Эмодзи: ◀️, Идентификатор: :reverse_button:
Эмодзи: ◀, Идентификатор: :reverse_button:
Эмодзи: 💞, Идентификатор: :revolving_hearts:
Эмодзи: 🦏, Идентификатор: :rhinoceros:
Эмодзи: 🎀, Идентификатор: :ribbon:
Эмодзи: 🍙, Идентификатор: :rice_ball:
Эмодзи: 🍘, Идентификатор: :rice_cracker:
Эмодзи: 🤜, Идентификатор: :right-facing_fist:
Эмодзи: 🤜🏿, Идентификатор: :right-facing_fist_dark_skin_tone:
Эмодзи: 🤜🏻, Идентификатор: :right-facing_fist_light_skin_tone:
Эмодзи: 🤜🏾, Идентификатор: :right-facing_fist_medium-dark_skin_tone:
Эмодзи: 🤜🏼, Идентификатор: :right-facing_fist_medium-light_skin_tone:
Эмодзи: 🤜🏽, Идентификатор: :right-facing_fist_medium_skin_tone:
Эмодзи: 🗯️, Идентификатор: :right_anger_bubble:
Эмодзи: 🗯, Идентификатор: :right_anger_bubble:
Эмодзи: ➡️, Идентификатор: :right_arrow:
Эмодзи: ➡, Идентификатор: :right_arrow:
Эмодзи: ⤵️, Идентификатор: :right_arrow_curving_down:
Эмодзи: ⤵, Идентификатор: :right_arrow_curving_down:
Эмодзи: ↩️, Идентификатор: :right_arrow_curving_left:
Эмодзи: ↩, Идентификатор: :right_arrow_curving_left:
Эмодзи: ⤴️, Идентификатор: :right_arrow_curving_up:
Эмодзи: ⤴, Идентификатор: :right_arrow_curving_up:
Эмодзи: 🫱, Идентификатор: :rightwards_hand:
Эмодзи: 🫱🏿, Идентификатор: :rightwards_hand_dark_skin_tone:
Эмодзи: 🫱🏻, Идентификатор: :rightwards_hand_light_skin_tone:
Эмодзи: 🫱🏾, Идентификатор: :rightwards_hand_medium-dark_skin_tone:
Эмодзи: 🫱🏼, Идентификатор: :rightwards_hand_medium-light_skin_tone:
Эмодзи: 🫱🏽, Идентификатор: :rightwards_hand_medium_skin_tone:
Эмодзи: 🫸, Идентификатор: :rightwards_pushing_hand:
Эмодзи: 🫸🏿, Идентификатор: :rightwards_pushing_hand_dark_skin_tone:
Эмодзи: 🫸🏻, Идентификатор: :rightwards_pushing_hand_light_skin_tone:
Эмодзи: 🫸🏾, Идентификатор: :rightwards_pushing_hand_medium-dark_skin_tone:
Эмодзи: 🫸🏼, Идентификатор: :rightwards_pushing_hand_medium-light_skin_tone:
Эмодзи: 🫸🏽, Идентификатор: :rightwards_pushing_hand_medium_skin_tone:
Эмодзи: 💍, Идентификатор: :ring:
Эмодзи: 🛟, Идентификатор: :ring_buoy:
Эмодзи: 🪐, Идентификатор: :ringed_planet:
Эмодзи: 🍠, Идентификатор: :roasted_sweet_potato:
Эмодзи: 🤖, Идентификатор: :robot:
Эмодзи: 🪨, Идентификатор: :rock:
Эмодзи: 🚀, Идентификатор: :rocket:
Эмодзи: 🧻, Идентификатор: :roll_of_paper:
Эмодзи: 🗞️, Идентификатор: :rolled-up_newspaper:
Эмодзи: 🗞, Идентификатор: :rolled-up_newspaper:
Эмодзи: 🎢, Идентификатор: :roller_coaster:
Эмодзи: 🛼, Идентификатор: :roller_skate:
Эмодзи: 🤣, Идентификатор: :rolling_on_the_floor_laughing:
Эмодзи: 🐓, Идентификатор: :rooster:
Эмодзи: 🫜, Идентификатор: :root_vegetable:
Эмодзи: 🌹, Идентификатор: :rose:
Эмодзи: 🏵️, Идентификатор: :rosette:
Эмодзи: 🏵, Идентификатор: :rosette:
Эмодзи: 📍, Идентификатор: :round_pushpin:
Эмодзи: 🏉, Идентификатор: :rugby_football:
Эмодзи: 🎽, Идентификатор: :running_shirt:
Эмодзи: 👟, Идентификатор: :running_shoe:
Эмодзи: 😥, Идентификатор: :sad_but_relieved_face:
Эмодзи: 🧷, Идентификатор: :safety_pin:
Эмодзи: 🦺, Идентификатор: :safety_vest:
Эмодзи: ⛵, Идентификатор: :sailboat:
Эмодзи: 🍶, Идентификатор: :sake:
Эмодзи: 🧂, Идентификатор: :salt:
Эмодзи: 🫡, Идентификатор: :saluting_face:
Эмодзи: 🥪, Идентификатор: :sandwich:
Эмодзи: 🥻, Идентификатор: :sari:
Эмодзи: 🛰️, Идентификатор: :satellite:
Эмодзи: 🛰, Идентификатор: :satellite:
Эмодзи: 📡, Идентификатор: :satellite_antenna:
Эмодзи: 🦕, Идентификатор: :sauropod:
Эмодзи: 🎷, Идентификатор: :saxophone:
Эмодзи: 🧣, Идентификатор: :scarf:
Эмодзи: 🏫, Идентификатор: :school:
Эмодзи: 🧑‍🔬, Идентификатор: :scientist:
Эмодзи: 🧑🏿‍🔬, Идентификатор: :scientist_dark_skin_tone:
Эмодзи: 🧑🏻‍🔬, Идентификатор: :scientist_light_skin_tone:
Эмодзи: 🧑🏾‍🔬, Идентификатор: :scientist_medium-dark_skin_tone:
Эмодзи: 🧑🏼‍🔬, Идентификатор: :scientist_medium-light_skin_tone:
Эмодзи: 🧑🏽‍🔬, Идентификатор: :scientist_medium_skin_tone:
Эмодзи: ✂️, Идентификатор: :scissors:
Эмодзи: ✂, Идентификатор: :scissors:
Эмодзи: 🦂, Идентификатор: :scorpion:
Эмодзи: 🪛, Идентификатор: :screwdriver:
Эмодзи: 📜, Идентификатор: :scroll:
Эмодзи: 🦭, Идентификатор: :seal:
Эмодзи: 💺, Идентификатор: :seat:
Эмодзи: 🙈, Идентификатор: :see-no-evil_monkey:
Эмодзи: 🌱, Идентификатор: :seedling:
Эмодзи: 🤳, Идентификатор: :selfie:
Эмодзи: 🤳🏿, Идентификатор: :selfie_dark_skin_tone:
Эмодзи: 🤳🏻, Идентификатор: :selfie_light_skin_tone:
Эмодзи: 🤳🏾, Идентификатор: :selfie_medium-dark_skin_tone:
Эмодзи: 🤳🏼, Идентификатор: :selfie_medium-light_skin_tone:
Эмодзи: 🤳🏽, Идентификатор: :selfie_medium_skin_tone:
Эмодзи: 🐕‍🦺, Идентификатор: :service_dog:
Эмодзи: 🕢, Идентификатор: :seven-thirty:
Эмодзи: 🕖, Идентификатор: :seven_o’clock:
Эмодзи: 🪡, Идентификатор: :sewing_needle:
Эмодзи: 🫨, Идентификатор: :shaking_face:
Эмодзи: 🥘, Идентификатор: :shallow_pan_of_food:
Эмодзи: ☘️, Идентификатор: :shamrock:
Эмодзи: ☘, Идентификатор: :shamrock:
Эмодзи: 🦈, Идентификатор: :shark:
Эмодзи: 🍧, Идентификатор: :shaved_ice:
Эмодзи: 🌾, Идентификатор: :sheaf_of_rice:
Эмодзи: 🛡️, Идентификатор: :shield:
Эмодзи: 🛡, Идентификатор: :shield:
Эмодзи: ⛩️, Идентификатор: :shinto_shrine:
Эмодзи: ⛩, Идентификатор: :shinto_shrine:
Эмодзи: 🚢, Идентификатор: :ship:
Эмодзи: 🌠, Идентификатор: :shooting_star:
Эмодзи: 🛍️, Идентификатор: :shopping_bags:
Эмодзи: 🛍, Идентификатор: :shopping_bags:
Эмодзи: 🛒, Идентификатор: :shopping_cart:
Эмодзи: 🍰, Идентификатор: :shortcake:
Эмодзи: 🩳, Идентификатор: :shorts:
Эмодзи: 🪏, Идентификатор: :shovel:
Эмодзи: 🚿, Идентификатор: :shower:
Эмодзи: 🦐, Идентификатор: :shrimp:
Эмодзи: 🔀, Идентификатор: :shuffle_tracks_button:
Эмодзи: 🤫, Идентификатор: :shushing_face:
Эмодзи: 🤘, Идентификатор: :sign_of_the_horns:
Эмодзи: 🤘🏿, Идентификатор: :sign_of_the_horns_dark_skin_tone:
Эмодзи: 🤘🏻, Идентификатор: :sign_of_the_horns_light_skin_tone:
Эмодзи: 🤘🏾, Идентификатор: :sign_of_the_horns_medium-dark_skin_tone:
Эмодзи: 🤘🏼, Идентификатор: :sign_of_the_horns_medium-light_skin_tone:
Эмодзи: 🤘🏽, Идентификатор: :sign_of_the_horns_medium_skin_tone:
Эмодзи: 🧑‍🎤, Идентификатор: :singer:
Эмодзи: 🧑🏿‍🎤, Идентификатор: :singer_dark_skin_tone:
Эмодзи: 🧑🏻‍🎤, Идентификатор: :singer_light_skin_tone:
Эмодзи: 🧑🏾‍🎤, Идентификатор: :singer_medium-dark_skin_tone:
Эмодзи: 🧑🏼‍🎤, Идентификатор: :singer_medium-light_skin_tone:
Эмодзи: 🧑🏽‍🎤, Идентификатор: :singer_medium_skin_tone:
Эмодзи: 🕡, Идентификатор: :six-thirty:
Эмодзи: 🕕, Идентификатор: :six_o’clock:
Эмодзи: 🛹, Идентификатор: :skateboard:
Эмодзи: ⛷️, Идентификатор: :skier:
Эмодзи: ⛷, Идентификатор: :skier:
Эмодзи: 🎿, Идентификатор: :skis:
Эмодзи: 💀, Идентификатор: :skull:
Эмодзи: ☠️, Идентификатор: :skull_and_crossbones:
Эмодзи: ☠, Идентификатор: :skull_and_crossbones:
Эмодзи: 🦨, Идентификатор: :skunk:
Эмодзи: 🛷, Идентификатор: :sled:
Эмодзи: 😴, Идентификатор: :sleeping_face:
Эмодзи: 😪, Идентификатор: :sleepy_face:
Эмодзи: 🙁, Идентификатор: :slightly_frowning_face:
Эмодзи: 🙂, Идентификатор: :slightly_smiling_face:
Эмодзи: 🎰, Идентификатор: :slot_machine:
Эмодзи: 🦥, Идентификатор: :sloth:
Эмодзи: 🛩️, Идентификатор: :small_airplane:
Эмодзи: 🛩, Идентификатор: :small_airplane:
Эмодзи: 🔹, Идентификатор: :small_blue_diamond:
Эмодзи: 🔸, Идентификатор: :small_orange_diamond:
Эмодзи: 😻, Идентификатор: :smiling_cat_with_heart-eyes:
Эмодзи: ☺️, Идентификатор: :smiling_face:
Эмодзи: ☺, Идентификатор: :smiling_face:
Эмодзи: 😇, Идентификатор: :smiling_face_with_halo:
Эмодзи: 😍, Идентификатор: :smiling_face_with_heart-eyes:
Эмодзи: 🥰, Идентификатор: :smiling_face_with_hearts:
Эмодзи: 😈, Идентификатор: :smiling_face_with_horns:
Эмодзи: 🤗, Идентификатор: :smiling_face_with_open_hands:
Эмодзи: 😊, Идентификатор: :smiling_face_with_smiling_eyes:
Эмодзи: 😎, Идентификатор: :smiling_face_with_sunglasses:
Эмодзи: 🥲, Идентификатор: :smiling_face_with_tear:
Эмодзи: 😏, Идентификатор: :smirking_face:
Эмодзи: 🐌, Идентификатор: :snail:
Эмодзи: 🐍, Идентификатор: :snake:
Эмодзи: 🤧, Идентификатор: :sneezing_face:
Эмодзи: 🏔️, Идентификатор: :snow-capped_mountain:
Эмодзи: 🏔, Идентификатор: :snow-capped_mountain:
Эмодзи: 🏂, Идентификатор: :snowboarder:
Эмодзи: 🏂🏿, Идентификатор: :snowboarder_dark_skin_tone:
Эмодзи: 🏂🏻, Идентификатор: :snowboarder_light_skin_tone:
Эмодзи: 🏂🏾, Идентификатор: :snowboarder_medium-dark_skin_tone:
Эмодзи: 🏂🏼, Идентификатор: :snowboarder_medium-light_skin_tone:
Эмодзи: 🏂🏽, Идентификатор: :snowboarder_medium_skin_tone:
Эмодзи: ❄️, Идентификатор: :snowflake:
Эмодзи: ❄, Идентификатор: :snowflake:
Эмодзи: ☃️, Идентификатор: :snowman:
Эмодзи: ☃, Идентификатор: :snowman:
Эмодзи: ⛄, Идентификатор: :snowman_without_snow:
Эмодзи: 🧼, Идентификатор: :soap:
Эмодзи: ⚽, Идентификатор: :soccer_ball:
Эмодзи: 🧦, Идентификатор: :socks:
Эмодзи: 🍦, Идентификатор: :soft_ice_cream:
Эмодзи: 🥎, Идентификатор: :softball:
Эмодзи: ♠️, Идентификатор: :spade_suit:
Эмодзи: ♠, Идентификатор: :spade_suit:
Эмодзи: 🍝, Идентификатор: :spaghetti:
Эмодзи: ❇️, Идентификатор: :sparkle:
Эмодзи: ❇, Идентификатор: :sparkle:
Эмодзи: 🎇, Идентификатор: :sparkler:
Эмодзи: ✨, Идентификатор: :sparkles:
Эмодзи: 💖, Идентификатор: :sparkling_heart:
Эмодзи: 🙊, Идентификатор: :speak-no-evil_monkey:
Эмодзи: 🔊, Идентификатор: :speaker_high_volume:
Эмодзи: 🔈, Идентификатор: :speaker_low_volume:
Эмодзи: 🔉, Идентификатор: :speaker_medium_volume:
Эмодзи: 🗣️, Идентификатор: :speaking_head:
Эмодзи: 🗣, Идентификатор: :speaking_head:
Эмодзи: 💬, Идентификатор: :speech_balloon:
Эмодзи: 🚤, Идентификатор: :speedboat:
Эмодзи: 🕷️, Идентификатор: :spider:
Эмодзи: 🕷, Идентификатор: :spider:
Эмодзи: 🕸️, Идентификатор: :spider_web:
Эмодзи: 🕸, Идентификатор: :spider_web:
Эмодзи: 🗓️, Идентификатор: :spiral_calendar:
Эмодзи: 🗓, Идентификатор: :spiral_calendar:
Эмодзи: 🗒️, Идентификатор: :spiral_notepad:
Эмодзи: 🗒, Идентификатор: :spiral_notepad:
Эмодзи: 🐚, Идентификатор: :spiral_shell:
Эмодзи: 🫟, Идентификатор: :splatter:
Эмодзи: 🧽, Идентификатор: :sponge:
Эмодзи: 🥄, Идентификатор: :spoon:
Эмодзи: 🚙, Идентификатор: :sport_utility_vehicle:
Эмодзи: 🏅, Идентификатор: :sports_medal:
Эмодзи: 🐳, Идентификатор: :spouting_whale:
Эмодзи: 🦑, Идентификатор: :squid:
Эмодзи: 😝, Идентификатор: :squinting_face_with_tongue:
Эмодзи: 🏟️, Идентификатор: :stadium:
Эмодзи: 🏟, Идентификатор: :stadium:
Эмодзи: ⭐, Идентификатор: :star:
Эмодзи: 🤩, Идентификатор: :star-struck:
Эмодзи: ☪️, Идентификатор: :star_and_crescent:
Эмодзи: ☪, Идентификатор: :star_and_crescent:
Эмодзи: ✡️, Идентификатор: :star_of_David:
Эмодзи: ✡, Идентификатор: :star_of_David:
Эмодзи: 🚉, Идентификатор: :station:
Эмодзи: 🍜, Идентификатор: :steaming_bowl:
Эмодзи: 🩺, Идентификатор: :stethoscope:
Эмодзи: ⏹️, Идентификатор: :stop_button:
Эмодзи: ⏹, Идентификатор: :stop_button:
Эмодзи: 🛑, Идентификатор: :stop_sign:
Эмодзи: ⏱️, Идентификатор: :stopwatch:
Эмодзи: ⏱, Идентификатор: :stopwatch:
Эмодзи: 📏, Идентификатор: :straight_ruler:
Эмодзи: 🍓, Идентификатор: :strawberry:
Эмодзи: 🧑‍🎓, Идентификатор: :student:
Эмодзи: 🧑🏿‍🎓, Идентификатор: :student_dark_skin_tone:
Эмодзи: 🧑🏻‍🎓, Идентификатор: :student_light_skin_tone:
Эмодзи: 🧑🏾‍🎓, Идентификатор: :student_medium-dark_skin_tone:
Эмодзи: 🧑🏼‍🎓, Идентификатор: :student_medium-light_skin_tone:
Эмодзи: 🧑🏽‍🎓, Идентификатор: :student_medium_skin_tone:
Эмодзи: 🎙️, Идентификатор: :studio_microphone:
Эмодзи: 🎙, Идентификатор: :studio_microphone:
Эмодзи: 🥙, Идентификатор: :stuffed_flatbread:
Эмодзи: ☀️, Идентификатор: :sun:
Эмодзи: ☀, Идентификатор: :sun:
Эмодзи: ⛅, Идентификатор: :sun_behind_cloud:
Эмодзи: 🌥️, Идентификатор: :sun_behind_large_cloud:
Эмодзи: 🌥, Идентификатор: :sun_behind_large_cloud:
Эмодзи: 🌦️, Идентификатор: :sun_behind_rain_cloud:
Эмодзи: 🌦, Идентификатор: :sun_behind_rain_cloud:
Эмодзи: 🌤️, Идентификатор: :sun_behind_small_cloud:
Эмодзи: 🌤, Идентификатор: :sun_behind_small_cloud:
Эмодзи: 🌞, Идентификатор: :sun_with_face:
Эмодзи: 🌻, Идентификатор: :sunflower:
Эмодзи: 🕶️, Идентификатор: :sunglasses:
Эмодзи: 🕶, Идентификатор: :sunglasses:
Эмодзи: 🌅, Идентификатор: :sunrise:
Эмодзи: 🌄, Идентификатор: :sunrise_over_mountains:
Эмодзи: 🌇, Идентификатор: :sunset:
Эмодзи: 🦸, Идентификатор: :superhero:
Эмодзи: 🦸🏿, Идентификатор: :superhero_dark_skin_tone:
Эмодзи: 🦸🏻, Идентификатор: :superhero_light_skin_tone:
Эмодзи: 🦸🏾, Идентификатор: :superhero_medium-dark_skin_tone:
Эмодзи: 🦸🏼, Идентификатор: :superhero_medium-light_skin_tone:
Эмодзи: 🦸🏽, Идентификатор: :superhero_medium_skin_tone:
Эмодзи: 🦹, Идентификатор: :supervillain:
Эмодзи: 🦹🏿, Идентификатор: :supervillain_dark_skin_tone:
Эмодзи: 🦹🏻, Идентификатор: :supervillain_light_skin_tone:
Эмодзи: 🦹🏾, Идентификатор: :supervillain_medium-dark_skin_tone:
Эмодзи: 🦹🏼, Идентификатор: :supervillain_medium-light_skin_tone:
Эмодзи: 🦹🏽, Идентификатор: :supervillain_medium_skin_tone:
Эмодзи: 🍣, Идентификатор: :sushi:
Эмодзи: 🚟, Идентификатор: :suspension_railway:
Эмодзи: 🦢, Идентификатор: :swan:
Эмодзи: 💦, Идентификатор: :sweat_droplets:
Эмодзи: 🕍, Идентификатор: :synagogue:
Эмодзи: 💉, Идентификатор: :syringe:
Эмодзи: 👕, Идентификатор: :t-shirt:
Эмодзи: 🌮, Идентификатор: :taco:
Эмодзи: 🥡, Идентификатор: :takeout_box:
Эмодзи: 🫔, Идентификатор: :tamale:
Эмодзи: 🎋, Идентификатор: :tanabata_tree:
Эмодзи: 🍊, Идентификатор: :tangerine:
Эмодзи: 🚕, Идентификатор: :taxi:
Эмодзи: 🧑‍🏫, Идентификатор: :teacher:
Эмодзи: 🧑🏿‍🏫, Идентификатор: :teacher_dark_skin_tone:
Эмодзи: 🧑🏻‍🏫, Идентификатор: :teacher_light_skin_tone:
Эмодзи: 🧑🏾‍🏫, Идентификатор: :teacher_medium-dark_skin_tone:
Эмодзи: 🧑🏼‍🏫, Идентификатор: :teacher_medium-light_skin_tone:
Эмодзи: 🧑🏽‍🏫, Идентификатор: :teacher_medium_skin_tone:
Эмодзи: 🍵, Идентификатор: :teacup_without_handle:
Эмодзи: 🫖, Идентификатор: :teapot:
Эмодзи: 📆, Идентификатор: :tear-off_calendar:
Эмодзи: 🧑‍💻, Идентификатор: :technologist:
Эмодзи: 🧑🏿‍💻, Идентификатор: :technologist_dark_skin_tone:
Эмодзи: 🧑🏻‍💻, Идентификатор: :technologist_light_skin_tone:
Эмодзи: 🧑🏾‍💻, Идентификатор: :technologist_medium-dark_skin_tone:
Эмодзи: 🧑🏼‍💻, Идентификатор: :technologist_medium-light_skin_tone:
Эмодзи: 🧑🏽‍💻, Идентификатор: :technologist_medium_skin_tone:
Эмодзи: 🧸, Идентификатор: :teddy_bear:
Эмодзи: ☎️, Идентификатор: :telephone:
Эмодзи: ☎, Идентификатор: :telephone:
Эмодзи: 📞, Идентификатор: :telephone_receiver:
Эмодзи: 🔭, Идентификатор: :telescope:
Эмодзи: 📺, Идентификатор: :television:
Эмодзи: 🕥, Идентификатор: :ten-thirty:
Эмодзи: 🕙, Идентификатор: :ten_o’clock:
Эмодзи: 🎾, Идентификатор: :tennis:
Эмодзи: ⛺, Идентификатор: :tent:
Эмодзи: 🧪, Идентификатор: :test_tube:
Эмодзи: 🌡️, Идентификатор: :thermometer:
Эмодзи: 🌡, Идентификатор: :thermometer:
Эмодзи: 🤔, Идентификатор: :thinking_face:
Эмодзи: 🩴, Идентификатор: :thong_sandal:
Эмодзи: 💭, Идентификатор: :thought_balloon:
Эмодзи: 🧵, Идентификатор: :thread:
Эмодзи: 🕞, Идентификатор: :three-thirty:
Эмодзи: 🕒, Идентификатор: :three_o’clock:
Эмодзи: 👎, Идентификатор: :thumbs_down:
Эмодзи: 👎🏿, Идентификатор: :thumbs_down_dark_skin_tone:
Эмодзи: 👎🏻, Идентификатор: :thumbs_down_light_skin_tone:
Эмодзи: 👎🏾, Идентификатор: :thumbs_down_medium-dark_skin_tone:
Эмодзи: 👎🏼, Идентификатор: :thumbs_down_medium-light_skin_tone:
Эмодзи: 👎🏽, Идентификатор: :thumbs_down_medium_skin_tone:
Эмодзи: 👍, Идентификатор: :thumbs_up:
Эмодзи: 👍🏿, Идентификатор: :thumbs_up_dark_skin_tone:
Эмодзи: 👍🏻, Идентификатор: :thumbs_up_light_skin_tone:
Эмодзи: 👍🏾, Идентификатор: :thumbs_up_medium-dark_skin_tone:
Эмодзи: 👍🏼, Идентификатор: :thumbs_up_medium-light_skin_tone:
Эмодзи: 👍🏽, Идентификатор: :thumbs_up_medium_skin_tone:
Эмодзи: 🎫, Идентификатор: :ticket:
Эмодзи: 🐅, Идентификатор: :tiger:
Эмодзи: 🐯, Идентификатор: :tiger_face:
Эмодзи: ⏲️, Идентификатор: :timer_clock:
Эмодзи: ⏲, Идентификатор: :timer_clock:
Эмодзи: 😫, Идентификатор: :tired_face:
Эмодзи: 🚽, Идентификатор: :toilet:
Эмодзи: 🍅, Идентификатор: :tomato:
Эмодзи: 👅, Идентификатор: :tongue:
Эмодзи: 🧰, Идентификатор: :toolbox:
Эмодзи: 🦷, Идентификатор: :tooth:
Эмодзи: 🪥, Идентификатор: :toothbrush:
Эмодзи: 🎩, Идентификатор: :top_hat:
Эмодзи: 🌪️, Идентификатор: :tornado:
Эмодзи: 🌪, Идентификатор: :tornado:
Эмодзи: 🖲️, Идентификатор: :trackball:
Эмодзи: 🖲, Идентификатор: :trackball:
Эмодзи: 🚜, Идентификатор: :tractor:
Эмодзи: ™️, Идентификатор: :trade_mark:
Эмодзи: ™, Идентификатор: :trade_mark:
Эмодзи: 🚆, Идентификатор: :train:
Эмодзи: 🚊, Идентификатор: :tram:
Эмодзи: 🚋, Идентификатор: :tram_car:
Эмодзи: 🏳️‍⚧️, Идентификатор: :transgender_flag:
Эмодзи: 🏳‍⚧️, Идентификатор: :transgender_flag:
Эмодзи: 🏳️‍⚧, Идентификатор: :transgender_flag:
Эмодзи: 🏳‍⚧, Идентификатор: :transgender_flag:
Эмодзи: ⚧️, Идентификатор: :transgender_symbol:
Эмодзи: ⚧, Идентификатор: :transgender_symbol:
Эмодзи: 🚩, Идентификатор: :triangular_flag:
Эмодзи: 📐, Идентификатор: :triangular_ruler:
Эмодзи: 🔱, Идентификатор: :trident_emblem:
Эмодзи: 🧌, Идентификатор: :troll:
Эмодзи: 🚎, Идентификатор: :trolleybus:
Эмодзи: 🏆, Идентификатор: :trophy:
Эмодзи: 🍹, Идентификатор: :tropical_drink:
Эмодзи: 🐠, Идентификатор: :tropical_fish:
Эмодзи: 🎺, Идентификатор: :trumpet:
Эмодзи: 🌷, Идентификатор: :tulip:
Эмодзи: 🥃, Идентификатор: :tumbler_glass:
Эмодзи: 🦃, Идентификатор: :turkey:
Эмодзи: 🐢, Идентификатор: :turtle:
Эмодзи: 🕧, Идентификатор: :twelve-thirty:
Эмодзи: 🕛, Идентификатор: :twelve_o’clock:
Эмодзи: 🐫, Идентификатор: :two-hump_camel:
Эмодзи: 🕝, Идентификатор: :two-thirty:
Эмодзи: 💕, Идентификатор: :two_hearts:
Эмодзи: 🕑, Идентификатор: :two_o’clock:
Эмодзи: ☂️, Идентификатор: :umbrella:
Эмодзи: ☂, Идентификатор: :umbrella:
Эмодзи: ⛱️, Идентификатор: :umbrella_on_ground:
Эмодзи: ⛱, Идентификатор: :umbrella_on_ground:
Эмодзи: ☔, Идентификатор: :umbrella_with_rain_drops:
Эмодзи: 😒, Идентификатор: :unamused_face:
Эмодзи: 🦄, Идентификатор: :unicorn:
Эмодзи: 🔓, Идентификатор: :unlocked:
Эмодзи: ↕️, Идентификатор: :up-down_arrow:
Эмодзи: ↕, Идентификатор: :up-down_arrow:
Эмодзи: ↖️, Идентификатор: :up-left_arrow:
Эмодзи: ↖, Идентификатор: :up-left_arrow:
Эмодзи: ↗️, Идентификатор: :up-right_arrow:
Эмодзи: ↗, Идентификатор: :up-right_arrow:
Эмодзи: ⬆️, Идентификатор: :up_arrow:
